event,winner,loser,margin,winner_pickup_points,loser_pickup_points,winner_dropped_counterfactual_points,loser_dropped_counterfactual_points,winner_replacement_delta,loser_replacement_delta,replacement_edge,winner_replacement_players,loser_replacement_players
18,Amorim de mi vida,ChabosSpurs@Law,11,32,3,11,2,21,1,20,Spence 7 vs Calafiori 0 (+7); Schär 2 vs Akanji 0 (+2); Garner 5 vs Stach 4 (+1); Casemiro 3 vs Adams 0 (+3); Enzo 1 vs Wilson 5 (-4); Gravenberch 11 vs Tonali 1 (+10); Trossard 2 vs Estêvão 1 (+1); Šeško 1 vs Danns 0 (+1),Hume 1 vs Dunk 0 (+1); Grealish 0 vs Mac Allister 2 (-2); Brobbey 2 vs Havertz 0 (+2)
20,**Cunha Believe it?!,Santa’s reijnders,7,28,26,11,25,17,1,16,Thiaw 17 vs Senesi 1 (+16); De Cuyper 1 vs Cash 5 (-4); Lewis-Potter 0 vs Shaw 2 (-2); Mitoma 3 vs Yeremy 2 (+1); Schade 6 vs O.Dango 0 (+6); Woltemade 1 vs Piroe 1 (+0),Dalot 2 vs N.Williams 1 (+1); O'Brien 0 vs F.Kadıoğlu 9 (-9); Reijnders 10 vs Marmoush 0 (+10); Cherki 4 vs Reijnders 10 (-6); Kolo Muani 2 vs Kroupi.Jr 5 (-3); Barry 6 vs Foster 0 (+6); Calvert-Lewin 2 vs Füllkrug 0 (+2)
21,Amorim de mi vida,Grand-Larseny,4,40,10,16,6,24,4,20,Collins 13 vs Clyne 0 (+13); Spence 1 vs Calafiori 0 (+1); Garner 6 vs Stach 2 (+4); Rodrigo 1 vs Casemiro 4 (-3); Enzo 1 vs Wilson 9 (-8); Gravenberch 3 vs Tonali 1 (+2); Trossard 2 vs Estêvão 0 (+2); Šeško 13 vs Danns 0 (+13),Petrović 1 vs Bayindir 0 (+1); Diakité 1 vs James 1 (+0); Van Hecke 3 vs Dorgu 5 (-2); Tavernier 5 vs Savinho 0 (+5); Isidor 0 vs Højlund 0 (+0)
22,Sue-nited FC*,eze as u like b*%chs,10,42,15,12,16,30,-1,31,Donnarumma 2 vs Perri 0 (+2); Botman 5 vs Schär 0 (+5); Frimpong 2 vs Gusto 0 (+2); Dorgu 15 vs Kayode 1 (+14); Konsa 2 vs Aké 1 (+1); Minteh 1 vs Garner 4 (-3); Wirtz 10 vs Johnson 2 (+8); Wilson 2 vs J.Murphy 0 (+2); O.Dango 1 vs Damsgaard 4 (-3); Kolo Muani 2 vs Richarlison 0 (+2),Ballard 4 vs Murillo 8 (-4); Mukiele 6 vs Romero 8 (-2); Anderson 5 vs Kluivert 0 (+5)
22,ChabosSpurs@Law,*Saka It To Me Baby,5,13,16,4,13,9,3,6,Vicario 1 vs Petrović 2 (-1); Yeremy 9 vs Ndoye 1 (+8); Grealish 3 vs Mac Allister 1 (+2),Roefs 2 vs Ramsdale 0 (+2); Romero 8 vs Alderete 1 (+7); Cash 2 vs Collins 1 (+1); O'Reilly -1 vs O'Brien 9 (-10); Konaté 2 vs Lewis-Skelly 0 (+2); McGinn 1 vs L.Paquetá 0 (+1); Tielemans 2 vs Bernardo 2 (+0)
23,Into the WOODwork*,eze as u like b*%chs,15,33,11,23,19,10,-8,18,James 6 vs Mosquera 0 (+6); Matheus N. 11 vs Khusanov 6 (+5); Lewis-Potter 1 vs Mykolenko 2 (-1); Stach 8 vs Garnacho 0 (+8); Ødegaard 4 vs Trossard 2 (+2); E.Le Fée 2 vs Xhaka 0 (+2); Doku 1 vs Estêvão 13 (-12),Mukiele 4 vs Romero 11 (-7); Ballard 2 vs Murillo 8 (-6); Anderson 5 vs Kluivert 0 (+5)
23,*Saka It To Me Baby,Amorim de mi vida,15,26,24,9,47,17,-23,40,Roefs 1 vs Ramsdale 0 (+1); Romero 11 vs Alderete 1 (+10); O'Reilly 6 vs O'Brien 4 (+2); Cash 6 vs Collins 1 (+5); Zubimendi 1 vs Tielemans 3 (-2); Damsgaard 1 vs McGinn 0 (+1),Spence 1 vs Calafiori 0 (+1); Senesi 3 vs Schär 0 (+3); Collins 1 vs Clyne 0 (+1); Garner 2 vs Stach 8 (-6); Trossard 2 vs Estêvão 13 (-11); Smith Rowe 2 vs Ayari 11 (-9); Enzo 8 vs Wilson 10 (-2); Gravenberch 1 vs Tonali 4 (-3); Taty 4 vs Wilson 1 (+3)
23,Sue-nited FC*,Grand-Larseny,13,42,4,15,9,27,-5,32,Donnarumma 8 vs Perri 0 (+8); Frimpong 0 vs Gusto 1 (-1); Dorgu 8 vs Kayode 1 (+7); O'Brien 4 vs Botman 3 (+1); Hume 0 vs Konsa 6 (-6); Wilson 10 vs J.Murphy 0 (+10); Wirtz 2 vs Johnson 2 (+0); Minteh 1 vs Garner 2 (-1); Igor Jesus 9 vs Zirkzee 0 (+9),Van Hecke 1 vs Dorgu 8 (-7); Casemiro 2 vs Kudus 0 (+2); Wilson 1 vs Isidor 1 (+0)
24,Sue-nited FC*,Amorim de mi vida,2,39,30,13,15,26,15,11,Donnarumma 2 vs Perri 0 (+2); B.Badiashile 0 vs O'Brien 5 (-5); Hume 5 vs Konsa 2 (+3); O.Dango 8 vs Damsgaard 0 (+8); Ayari 6 vs Minteh 1 (+5); Wirtz 12 vs Johnson 2 (+10); Wilson 2 vs J.Murphy 1 (+1); Pablo 2 vs Kolo Muani 2 (+0); Igor Jesus 2 vs Zirkzee 0 (+2),Senesi 8 vs Schär 0 (+8); Collins 1 vs Clyne 0 (+1); Garner 4 vs Stach 2 (+2); Trossard 3 vs Estêvão 0 (+3); Smith Rowe 2 vs Ayari 6 (-4); Enzo 8 vs Wilson 2 (+6); Buendía 2 vs Gravenberch 4 (-2); Taty 2 vs Wilson 1 (+1)
24,eze as u like b*%chs,Bowen Arrows,5,29,20,3,3,26,17,9,Ballard 9 vs Murillo 2 (+7); Mukiele 9 vs Romero 0 (+9); J.Palhinha 4 vs Hudson-Odoi 1 (+3); Anderson 7 vs Kluivert 0 (+7),Wan-Bissaka 7 vs Frimpong 0 (+7); Alderete 6 vs Tete 0 (+6); Robinson 1 vs Aït-Nouri 2 (-1); Xavi 6 vs Georginio 1 (+5)
