season,manager,formation,xi_points,position,slot,player_code,player,points,seasons
2025-26,Drake Byrd,4-5-1,1320,MID,3,201658,Marcus Tavernier,119,2025-26
2025-26,Drake Byrd,4-5-1,1320,MID,4,61256,Carlos Henrique Casimiro,75,2025-26
2025-26,Drake Byrd,4-5-1,1320,MID,5,460842,Mohammed Kudus,75,2025-26
2025-26,Drake Byrd,4-5-1,1320,FWD,1,444102,Francisco Evanilson de Lima Barbosa,114,2025-26
2025-26,Ryan Houseman,4-4-2,1358,GKP,1,154561,David Raya Martín,124,2025-26
2025-26,Ryan Houseman,4-4-2,1358,DEF,1,226597,Gabriel dos Santos Magalhães,209,2025-26
2025-26,Ryan Houseman,4-4-2,1358,DEF,2,106611,Michael Keane,90,2025-26
2025-26,Ryan Houseman,4-4-2,1358,DEF,3,200834,Nordi Mukiele,81,2025-26
2025-26,Ryan Houseman,4-4-2,1358,DEF,4,494521,Adrien Truffert,60,2025-26
2025-26,Ryan Houseman,4-4-2,1358,MID,1,204480,Declan Rice,161,2025-26
2025-26,Ryan Houseman,4-4-2,1358,MID,2,424876,Dominik Szoboszlai,160,2025-26
2025-26,Ryan Houseman,4-4-2,1358,MID,3,215379,Elliot Anderson,124,2025-26
2025-26,Ryan Houseman,4-4-2,1358,MID,4,232413,Eberechi Eze,113,2025-26
2025-26,Ryan Houseman,4-4-2,1358,FWD,1,50175,Danny Welbeck,123,2025-26
2025-26,Ryan Houseman,4-4-2,1358,FWD,2,231747,Jean-Philippe Mateta,113,2025-26
2025-26,Dylan Reid,4-3-3,1195,GKP,1,98747,Nick Pope,91,2025-26
2025-26,Dylan Reid,4-3-3,1195,DEF,1,201895,Omar Alderete,63,2025-26
2025-26,Dylan Reid,4-3-3,1195,DEF,2,487838,Lewis Hall,61,2025-26
2025-26,Dylan Reid,4-3-3,1195,DEF,3,214590,Aaron Wan-Bissaka,49,2025-26
2025-26,Dylan Reid,4-3-3,1195,DEF,4,448514,Rayan Aït-Nouri,49,2025-26
2025-26,Dylan Reid,4-3-3,1195,MID,1,437730,Antoine Semenyo,200,2025-26
2025-26,Dylan Reid,4-3-3,1195,MID,2,493250,Amad Diallo,90,2025-26
2025-26,Dylan Reid,4-3-3,1195,MID,3,153133,Alex Iwobi,53,2025-26
2025-26,Dylan Reid,4-3-3,1195,FWD,1,178186,Jarrod Bowen,187,2025-26
2025-26,Dylan Reid,4-3-3,1195,FWD,2,475168,João Pedro Junqueira de Jesus,177,2025-26
2025-26,Dylan Reid,4-3-3,1195,FWD,3,502500,Igor Thiago Nascimento Rodrigues,175,2025-26
2025-26,Levi Morant,4-4-2,846,GKP,1,498016,Robin Roefs,70,2025-26
2025-26,Levi Morant,4-4-2,846,DEF,1,472769,Nico O'Reilly,74,2025-26
2025-26,Levi Morant,4-4-2,846,DEF,2,466075,Riccardo Calafiori,71,2025-26
2025-26,Levi Morant,4-4-2,846,DEF,3,204716,Ibrahima Konaté,48,2025-26
2025-26,Levi Morant,4-4-2,846,DEF,4,199798,Ezri Konsa Ngoyo,45,2025-26
2025-26,Levi Morant,4-4-2,846,MID,1,223340,Bukayo Saka,156,2025-26
2025-26,Levi Morant,4-4-2,846,MID,2,244851,Cole Palmer,114,2025-26
2025-26,Levi Morant,4-4-2,846,MID,3,118748,Mohamed Salah,97,2025-26
2025-26,Levi Morant,4-4-2,846,MID,4,195384,Mikel Merino Zazón,37,2025-26
2025-26,Levi Morant,4-4-2,846,FWD,1,178301,Ollie Watkins,100,2025-26
2025-26,Levi Morant,4-4-2,846,FWD,2,431639,Zian Flemming,34,2025-26
2025-26,Alexander Chaban,3-5-2,1095,GKP,1,172649,Dean Henderson,106,2025-26
2025-26,Alexander Chaban,3-5-2,1095,DEF,1,180736,Trevoh Chalobah,114,2025-26
2025-26,Alexander Chaban,3-5-2,1095,DEF,2,491279,Micky van de Ven,106,2025-26
2025-26,Alexander Chaban,3-5-2,1095,DEF,3,441164,Pedro Porro Sauceda,79,2025-26
2025-26,Alexander Chaban,3-5-2,1095,MID,1,244850,Morgan Rogers,169,2025-26
2025-26,Alexander Chaban,3-5-2,1095,MID,2,209244,Phil Foden,106,2025-26
2025-26,Alexander Chaban,3-5-2,1095,MID,3,201666,Harvey Barnes,104,2025-26
2025-26,Alexander Chaban,3-5-2,1095,MID,4,114283,Jack Grealish,79,2025-26
2025-26,Alexander Chaban,3-5-2,1095,MID,5,551226,Mateus Gonçalo Espanha Fernandes,59,2025-26
2025-26,Alexander Chaban,3-5-2,1095,FWD,1,510663,Hugo Ekitiké,125,2025-26
2025-26,Alexander Chaban,3-5-2,1095,FWD,2,441264,Brian Brobbey,48,2025-26
2025-26,Ethan Ellsworth,3-5-2,1035,GKP,1,116535,Alisson Becker,89,2025-26
