event,team,points,starter_double_digits,starter_zeroes
12,Bowen Arrows,39,1,1
13,Grand-Larseny,39,1,0
25,eze as u like b*%chs,39,0,0
29,Grand-Larseny,39,0,1
31,eze as u like b*%chs,39,1,4
7,Amorim de mi vida,38,1,0
13,Into the WOODwork*,38,0,1
21,Into the WOODwork*,38,0,0
28,Into the WOODwork*,38,0,1
29,Santa’s reijnders,38,1,0
31,*Saka It To Me Baby,38,1,1
34,Sue-nited FC*,38,0,0
35,**Cunha Believe it?!,38,0,1
36,Grand-Larseny,38,0,0
36,Into the WOODwork*,38,1,1
37,Grand-Larseny,38,0,1
8,Santa’s reijnders,37,0,1
16,Bowen Arrows,37,0,0
20,Santa’s reijnders,37,1,1
24,ChabosSpurs@Law,37,2,0
27,ChabosSpurs@Law,37,1,2
32,Grand-Larseny,37,0,1
37,*Saka It To Me Baby,37,2,0
1,*Saka It To Me Baby,36,0,1
6,*Saka It To Me Baby,36,1,1
11,Amorim de mi vida,36,0,1
12,**Cunha Believe it?!,36,0,1
14,Amorim de mi vida,36,0,1
18,*Saka It To Me Baby,36,1,0
21,ChabosSpurs@Law,36,1,2
23,ChabosSpurs@Law,36,0,0
23,Santa’s reijnders,36,1,1
25,Bowen Arrows,36,0,1
2,*Saka It To Me Baby,35,1,1
15,Amorim de mi vida,35,0,1
21,Sue-nited FC*,35,0,1
23,Grand-Larseny,35,0,0
28,Amorim de mi vida,35,0,0
28,Santa’s reijnders,35,1,0
31,Grand-Larseny,35,1,2
34,*Saka It To Me Baby,35,1,3
1,Amorim de mi vida,34,0,0
1,eze as u like b*%chs,34,1,1
5,ChabosSpurs@Law,34,0,0
7,**Cunha Believe it?!,34,0,0
7,ChabosSpurs@Law,34,1,1
8,Bowen Arrows,34,0,1
13,**Cunha Believe it?!,34,0,0
19,**Cunha Believe it?!,34,0,1
22,ChabosSpurs@Law,34,0,1
23,**Cunha Believe it?!,34,0,0
25,Into the WOODwork*,34,1,0
28,ChabosSpurs@Law,34,2,1
30,Bowen Arrows,34,0,0
33,*Saka It To Me Baby,34,0,0
37,ChabosSpurs@Law,34,1,4
5,Santa’s reijnders,33,0,1
26,Amorim de mi vida,33,0,0
26,Grand-Larseny,33,1,1
31,ChabosSpurs@Law,33,0,0
8,ChabosSpurs@Law,32,1,2
10,Bowen Arrows,32,0,2
10,Santa’s reijnders,32,0,0
11,*Saka It To Me Baby,32,1,0
11,Santa’s reijnders,32,0,0
18,ChabosSpurs@Law,32,1,2
19,ChabosSpurs@Law,32,1,0
21,Bowen Arrows,32,1,2
22,Into the WOODwork*,32,1,1
23,eze as u like b*%chs,32,1,1
34,eze as u like b*%chs,32,0,3
37,Into the WOODwork*,32,0,1
5,eze as u like b*%chs,31,0,1
9,Sue-nited FC*,31,0,0
11,eze as u like b*%chs,31,1,1
12,*Saka It To Me Baby,31,1,0
12,Santa’s reijnders,31,0,0
15,*Saka It To Me Baby,31,0,0
29,Into the WOODwork*,31,0,0
3,Sue-nited FC*,30,0,0
14,Bowen Arrows,30,0,0
18,eze as u like b*%chs,30,1,1
21,*Saka It To Me Baby,30,0,0
22,Santa’s reijnders,30,0,0
25,**Cunha Believe it?!,30,1,1
26,ChabosSpurs@Law,30,0,1
30,ChabosSpurs@Law,30,0,0
34,Santa’s reijnders,30,0,3
35,Sue-nited FC*,30,1,0
37,Amorim de mi vida,30,1,0
8,*Saka It To Me Baby,29,0,0
8,Sue-nited FC*,29,0,0
13,ChabosSpurs@Law,29,1,2
13,eze as u like b*%chs,29,0,1
19,Bowen Arrows,29,0,0
20,Grand-Larseny,29,1,3
22,*Saka It To Me Baby,29,0,0
30,Santa’s reijnders,29,0,0
31,Santa’s reijnders,29,0,1
32,Amorim de mi vida,29,0,1
35,*Saka It To Me Baby,29,1,1
6,Sue-nited FC*,28,0,0
14,Santa’s reijnders,28,0,1
22,**Cunha Believe it?!,28,0,1
23,Amorim de mi vida,28,0,0
25,Sue-nited FC*,28,1,0
30,Into the WOODwork*,28,0,0
