season,manager,rank,player_code,player,position,club,points
2026-27,Dylan Reid,3,204480,Declan Rice,MID,ARS,20
2026-27,Dylan Reid,4,200834,Nordi Mukiele,DEF,SUN,13
2026-27,Dylan Reid,5,209244,Phil Foden,MID,MCI,11
2026-27,Dylan Reid,6,502500,Igor Thiago Nascimento Rodrigues,FWD,BRE,10
2026-27,Dylan Reid,7,176297,Marcus Rashford,MID,MUN,10
2026-27,Dylan Reid,8,437499,Maxence Lacroix,DEF,CHE,8
2026-27,Dylan Reid,9,517052,Nicolas Jackson,FWD,AVL,8
2026-27,Dylan Reid,10,494521,Adrien Truffert,DEF,BOU,7
2026-27,Dylan Reid,11,472769,Nico O'Reilly,DEF,MCI,6
2026-27,Dylan Reid,12,153682,Harry Wilson,MID,LEE,5
2026-27,Dylan Reid,13,226182,Jayden Bogle,DEF,LEE,5
2026-27,Dylan Reid,14,474120,Julio Enciso,MID,IPS,5
2026-27,Dylan Reid,15,80201,Bernd Leno,GKP,FUL,4
2026-27,Dylan Reid,16,457569,Đorđe Petrović,GKP,BOU,4
2026-27,Dylan Reid,17,215059,Robert Lynch Sánchez,GKP,CHE,2
2026-27,Dylan Reid,18,611695,Malick Yalcouyé,MID,BHA,1
2026-27,Ethan Ellsworth,1,513418,Kevin Schade,MID,BRE,39
2026-27,Ethan Ellsworth,2,466052,Rayan Cherki,MID,MCI,34
2026-27,Ethan Ellsworth,3,480455,Jarrad Branthwaite,DEF,EVE,24
2026-27,Ethan Ellsworth,4,195546,Emiliano Buendía Stati,MID,AVL,19
2026-27,Ethan Ellsworth,5,494595,Florian Wirtz,MID,LIV,18
2026-27,Ethan Ellsworth,6,216646,Yoane Wissa,FWD,NEW,15
2026-27,Ethan Ellsworth,7,544877,Milos Kerkez,DEF,LIV,13
2026-27,Ethan Ellsworth,8,551466,Gonzalo García,FWD,FUL,12
2026-27,Ethan Ellsworth,9,465351,Matheus Nunes,DEF,MCI,10
2026-27,Ethan Ellsworth,10,465247,Senne Lammens,GKP,MUN,9
2026-27,Ethan Ellsworth,11,485055,Antonín Kinský,GKP,TOT,7
2026-27,Ethan Ellsworth,12,482973,Igor Jesus Maciel da Cruz,FWD,NFO,4
2026-27,Ethan Ellsworth,13,225796,Reece James,DEF,CHE,3
2026-27,Ethan Ellsworth,14,463726,Amar Dedic,DEF,NEW,1
2026-27,Ethan Ellsworth,15,232185,Ismaïla Sarr,MID,CRY,1
2026-27,Ethan Ellsworth,16,491279,Micky van de Ven,DEF,TOT,0
2026-27,Julius Long,1,437730,Antoine Semenyo,MID,MCI,33
2026-27,Julius Long,2,430871,Matheus Santos Carneiro da Cunha,MID,MUN,26
2026-27,Julius Long,3,465730,Maxim De Cuyper,DEF,BHA,21
2026-27,Julius Long,4,204936,Gianluigi Donnarumma,GKP,MCI,19
2026-27,Julius Long,5,607464,Michael Kayode,DEF,BRE,17
2026-27,Julius Long,6,543968,Emersonn Correia da Silva,FWD,IPS,14
2026-27,Julius Long,7,247412,Jørgen Strand Larsen,FWD,CRY,11
2026-27,Julius Long,8,208706,Bruno Guimarães Rodriguez Moura,MID,ARS,9
2026-27,Julius Long,9,95658,Harry Maguire,DEF,MUN,9
2026-27,Julius Long,10,441302,Ian Maatsen,DEF,AVL,9
2026-27,Julius Long,11,154043,Ainsley Maitland-Niles,DEF,EVE,8
2026-27,Julius Long,12,491279,Micky van de Ven,DEF,TOT,6
2026-27,Julius Long,13,540324,Mohamed Belloumi,MID,HUL,4
2026-27,Julius Long,14,437505,Wilson Isidor,FWD,SUN,4
2026-27,Julius Long,15,221466,Marcos Senesi Barón,DEF,TOT,3
2026-27,Julius Long,16,551226,Mateus Fernandes,MID,TOT,3
2026-27,Julius Long,17,172780,James Maddison,MID,TOT,2
2026-27,Julius Long,18,486385,Norberto Bercique Gomes Betuncal,FWD,EVE,2
2026-27,Julius Long,19,60689,Chris Wood,FWD,NFO,1
2026-27,Julius Long,20,200089,Joe Willock,MID,NEW,1
2026-27,Julius Long,21,224117,Viktor Gyökeres,FWD,ARS,1
2026-27,Justin Miller,1,219168,Alexander Isak,FWD,LIV,33
2026-27,Justin Miller,2,201658,Marcus Tavernier,MID,BOU,31
2026-27,Justin Miller,3,466525,Anton Stach,MID,LEE,27
2026-27,Justin Miller,4,606702,Jeremy Jacquet,DEF,LIV,24
2026-27,Justin Miller,5,647850,Charalampos Kostoulas,FWD,BHA,20
2026-27,Justin Miller,6,108416,John Egan,DEF,HUL,18
2026-27,Justin Miller,7,522047,Tarik Muharemović,DEF,LEE,17
2026-27,Justin Miller,8,85633,Matz Sels,GKP,NFO,14
2026-27,Justin Miller,9,249231,Keane Lewis-Potter,MID,BRE,12
2026-27,Justin Miller,10,570794,Anan Khalaili,DEF,CRY,7
2026-27,Justin Miller,11,483067,António João Pereira de Albuquerque Tavares da Silva,DEF,BOU,7
2026-27,Justin Miller,12,482616,Bradley Barcola,MID,LIV,7
2026-27,Justin Miller,13,215379,Elliot Anderson,MID,MCI,5
2026-27,Justin Miller,14,159506,Ola Aina,DEF,NFO,5
2026-27,Justin Miller,15,146426,Semi Ajayi,DEF,HUL,5
2026-27,Justin Miller,16,613221,Matias Fernandez-Pardo,FWD,NEW,2
2026-27,Justin Miller,17,212319,Richarlison de Andrade,FWD,TOT,2
2026-27,Justin Miller,18,216051,Diogo Dalot Teixeira,DEF,MUN,1
2026-27,Justin Miller,19,460028,Levi Samuels Colwill,DEF,CHE,1
2026-27,Levi Morant,1,223340,Bukayo Saka,MID,ARS,32
2026-27,Levi Morant,2,244851,Cole Palmer,MID,CHE,28
2026-27,Levi Morant,3,201666,Harvey Barnes,MID,NEW,28
2026-27,Levi Morant,4,219847,Kai Havertz,FWD,ARS,19
2026-27,Levi Morant,5,439509,Christos Tzolis,MID,ARS,14
2026-27,Levi Morant,6,445087,Ronald Araujo,DEF,LIV,13
2026-27,Levi Morant,7,227444,Nikola Milenković,DEF,NFO,12
2026-27,Levi Morant,8,116535,Alisson Becker,GKP,LIV,11
2026-27,Levi Morant,9,204120,Olivier Boscagli,DEF,BHA,8
2026-27,Levi Morant,10,438234,Omar Marmoush,FWD,TOT,8
2026-27,Levi Morant,11,533463,Dango Ouattara,MID,BRE,6
2026-27,Levi Morant,12,463067,Georginio Rutter,FWD,BHA,6
2026-27,Levi Morant,13,470551,Lukás Hornícek,GKP,NEW,5
2026-27,Levi Morant,14,122798,Andrew Robertson,DEF,TOT,4
2026-27,Levi Morant,15,209400,Daichi Kamada,MID,CRY,3
2026-27,Levi Morant,16,568420,Ousmane Diomande,DEF,NFO,2
2026-27,Levi Morant,17,216094,Jeremie Frimpong,DEF,LIV,1
2026-27,Levi Morant,18,550864,Leny Yoro,DEF,MUN,1
2026-27,Levi Morant,19,432830,Nathan Collins,DEF,BRE,1
2026-27,Levi Morant,20,461102,Bobby Thomas,DEF,COV,0
2026-27,Luke Lockwood,1,446008,Bryan Mbeumo,MID,MUN,25
2026-27,Luke Lockwood,2,513545,Mamadou Sangaré,MID,BRE,22
2026-27,Luke Lockwood,3,198869,Benjamin White,DEF,ARS,21
2026-27,Luke Lockwood,4,191866,Kristoffer Ajer,DEF,BRE,21
2026-27,Luke Lockwood,5,215413,Kiernan Dewsbury-Hall,MID,EVE,20
2026-27,Luke Lockwood,6,209036,Marc Guéhi,DEF,MCI,20
2026-27,Luke Lockwood,7,586309,Thierno Barry,FWD,EVE,20
2026-27,Luke Lockwood,8,440993,Iliman Ndiaye,MID,MCI,14
2026-27,Luke Lockwood,9,465642,Malick Thiaw,DEF,NEW,14
2026-27,Luke Lockwood,10,220627,James Justin,DEF,LEE,12
2026-27,Luke Lockwood,11,489639,Bart Verbruggen,GKP,BHA,9
2026-27,Luke Lockwood,12,503139,Alex Scott,MID,BOU,6
2026-27,Luke Lockwood,13,484420,Enzo Le Fée,MID,SUN,5
2026-27,Luke Lockwood,14,98980,Emiliano Martínez Romero,GKP,CHE,4
2026-27,Luke Lockwood,15,154566,Dominic Solanke-Mitchell,FWD,TOT,2
2026-27,Luke Lockwood,16,456512,Dan Ndoye,MID,NFO,1
2026-27,Luke Lockwood,17,651426,Jaydee Canvot,DEF,CRY,1
2026-27,Luke Lockwood,18,232351,Ryan Giles,DEF,HUL,0
2026-27,Ryan Donlan,1,60307,Pascal Groß,MID,BHA,47
2026-27,Ryan Donlan,2,17761,James Tarkowski,DEF,EVE,43
2026-27,Ryan Donlan,3,223094,Erling Haaland,FWD,MCI,39
2026-27,Ryan Donlan,4,477424,Joško Gvardiol,DEF,MCI,37
2026-27,Ryan Donlan,5,222531,Morgan Gibbs-White,MID,NFO,28
2026-27,Ryan Donlan,6,177815,Dominic Calvert-Lewin,FWD,LEE,22
2026-27,Ryan Donlan,7,200720,Caoimhín Kelleher,GKP,BRE,20
2026-27,Ryan Donlan,8,575476,Murillo Costa dos Santos,DEF,NFO,18
2026-27,Ryan Donlan,9,222683,Justin Kluivert,MID,BOU,15
2026-27,Ryan Donlan,10,500040,Cristhian Mosquera,DEF,ARS,12
2026-27,Ryan Donlan,11,171314,Rúben dos Santos Gato Alves Dias,DEF,MCI,11
2026-27,Ryan Donlan,12,166477,Timothy Castagne,DEF,FUL,6
2026-27,Ryan Donlan,13,551499,Victor Munoz,MID,LIV,4
2026-27,Ryan Donlan,14,153133,Alex Iwobi,MID,FUL,2
2026-27,Ryan Donlan,15,50175,Danny Welbeck,FWD,CHE,2
2026-27,Ryan Donlan,16,577725,Josh King,MID,FUL,2
2026-27,Ryan Donlan,17,551210,Jorrel Hato,DEF,CHE,0
2026-27,Ryan Houseman,1,226597,Gabriel dos Santos Magalhães,DEF,ARS,25
2026-27,Ryan Houseman,2,111234,Jordan Pickford,GKP,EVE,25
2026-27,Ryan Houseman,3,514254,Diego Gómez Amarilla,MID,BHA,24
2026-27,Ryan Houseman,4,424876,Dominik Szoboszlai,MID,LIV,20
2026-27,Ryan Houseman,5,215136,Neco Williams,DEF,NFO,19
2026-27,Ryan Houseman,6,83299,Lewis Dunk,DEF,BHA,17
2026-27,Ryan Houseman,7,224967,Vitalii Mykolenko,DEF,EVE,17
2026-27,Ryan Houseman,8,247632,Pedro Lomba Neto,MID,CHE,14
2026-27,Ryan Houseman,9,448047,Enzo Fernández,MID,MCI,13
2026-27,Ryan Houseman,10,606930,Nobel Mendy,DEF,HUL,9
2026-27,Ryan Houseman,11,204580,Vitaly Janelt,MID,BRE,7
2026-27,Ryan Houseman,12,232413,Eberechi Eze,MID,ARS,2
2026-27,Ryan Houseman,13,231747,Jean-Philippe Mateta,FWD,CRY,2
2026-27,Ryan Houseman,14,543968,Emersonn Correia da Silva,FWD,IPS,1
2026-27,Ryan Houseman,15,247412,Jørgen Strand Larsen,FWD,CRY,1
2026-27,Ryan Houseman,16,448104,Piero Hincapié,DEF,ARS,1
2026-27,Ryan Houseman,17,146426,Semi Ajayi,DEF,HUL,1
2026-27,Ryan Houseman,18,173879,Tammy Abraham,FWD,AVL,1
2026-27,Ryan Houseman,19,437505,Wilson Isidor,FWD,SUN,1
2026-27,Ryan Houseman,20,538007,Promise David,FWD,BHA,0
2026-27,Ryan Houseman,21,445087,Ronald Araujo,DEF,LIV,0
