trade_id,season,timing,phase,source_timing,source_row,participant_count,participants,manager_1,assets_1,manager_2,assets_2,manager_3,assets_3,notes,asset_count,has_picks,headline,summary,source
2024-25-21,2024-25,GW 28,In-season,28,22,2,"Donny, Dylan",Donny,"Merino (ARS), White (ARS), 6th-round pick, 9th-round pick",Dylan,"Neto (CHE), Porro (TOT)",,,,6,Yes,Donny <-> Dylan,"Donny sent Merino (ARS), White (ARS), 6th-round pick, 9th-round pick; Dylan sent Neto (CHE), Porro (TOT)",BPL Fantasy.xlsx / Trade History
2024-25-22,2024-25,GW 28,In-season,28,23,2,"Levi, Ethan",Levi,"Armstrong (SOU), 7th-round pick",Ethan,Pedro (BHA),,,,3,Yes,Levi <-> Ethan,"Levi sent Armstrong (SOU), 7th-round pick; Ethan sent Pedro (BHA)",BPL Fantasy.xlsx / Trade History
2024-25-23,2024-25,GW 30,In-season,30,24,2,"Levi, Chabo",Levi,Son (TOT),Chabo,"Minteh (BHA), 6th-round pick",,,,3,Yes,Levi <-> Chabo,"Levi sent Son (TOT); Chabo sent Minteh (BHA), 6th-round pick",BPL Fantasy.xlsx / Trade History
2024-25-24,2024-25,GW 30,In-season,30,25,2,"Levi, Dylan",Levi,"Minteh (BHA), 6th-round pick",Dylan,Merino (ARS),,,,3,Yes,Levi <-> Dylan,"Levi sent Minteh (BHA), 6th-round pick; Dylan sent Merino (ARS)",BPL Fantasy.xlsx / Trade History
2024-25-25,2024-25,GW 30,In-season,30,26,2,"Donny, Ethan",Donny,"Daka (LEI), 4th-round pick (5th if doesn't Donny win league)",Ethan,Evanilson (BOU),,,,3,Yes,Donny <-> Ethan,"Donny sent Daka (LEI), 4th-round pick (5th if doesn't Donny win league); Ethan sent Evanilson (BOU)",BPL Fantasy.xlsx / Trade History
2024-25-26,2024-25,Postseason,Postseason,Postseason,27,2,"Levi, Luke",Levi,"Diaz (LIV), Amad (MU), Conditional 5th-round picks (3) if Diaz leaves the Prem before draft",Luke,"Marmoush (MC), 8th-round pick",,,,5,Yes,Levi <-> Luke,"Levi sent Diaz (LIV), Amad (MU), Conditional 5th-round picks (3) if Diaz leaves the Prem before draft; Luke sent Marmoush (MC), 8th-round pick",BPL Fantasy.xlsx / Trade History
2024-25-27,2024-25,Postseason,Postseason,Postseason,28,2,"Levi, Ethan",Levi,"Mbeumo (BRE), Marmoush (MC)",Ethan,Isak (NEW),,,,3,No,Levi <-> Ethan,"Levi sent Mbeumo (BRE), Marmoush (MC); Ethan sent Isak (NEW)",BPL Fantasy.xlsx / Trade History
2024-25-28,2024-25,Postseason,Postseason,Postseason,29,2,"Levi, Julius",Levi,"3rd-round pick (5th), 3rd-round pick (9th)",Julius,Isak (NEW),,,,3,Yes,Levi <-> Julius,"Levi sent 3rd-round pick (5th), 3rd-round pick (9th); Julius sent Isak (NEW)",BPL Fantasy.xlsx / Trade History
2024-25-29,2024-25,Postseason,Postseason,Postseason,30,2,"Justin, Dylan",Justin,Bowen (WHU),Dylan,6th-round pick (1st),,,,2,Yes,Justin <-> Dylan,Justin sent Bowen (WHU); Dylan sent 6th-round pick (1st),BPL Fantasy.xlsx / Trade History
2024-25-30,2024-25,Postseason,Postseason,Postseason,31,3,"Levi, Luke, House/Haydo",Levi,"5th-round pick (1st), 10th-round pick (7th), 11th-round pick (7th)",Luke,7th-round pick (5th),House/Haydo,"Wood (NF), 2026 5th-round pick",,6,Yes,Levi <-> Luke <-> House/Haydo,"Levi sent 5th-round pick (1st), 10th-round pick (7th), 11th-round pick (7th); Luke sent 7th-round pick (5th); House/Haydo sent Wood (NF), 2026 5th-round pick",BPL Fantasy.xlsx / Trade History
2024-25-31,2024-25,Postseason,Postseason,Postseason,32,2,"Levi, Dylan",Levi,"3rd-round pick (5th), 3rd-round pick (9th), 5th-round pick (5th), 5th-round pick (9th), 2026 3rd-round pick, 2026 5th-round pick",Dylan,"3rd-round pick (1st), 11th-round pick, 12th-round pick, 13th-round pick, 14th-round pick, 15th-round pick",,,,12,Yes,Levi <-> Dylan,"Levi sent 3rd-round pick (5th), 3rd-round pick (9th), 5th-round pick (5th), 5th-round pick (9th), 2026 3rd-round pick, 2026 5th-round pick; Dylan sent 3rd-round pick (1st), 11th-round pick, 12th-round pick, 13th-round pick, 14th-round pick, 15th-round pick",BPL Fantasy.xlsx / Trade History
2024-25-32,2024-25,Postseason,Postseason,Postseason,33,2,"Drake, Donny",Drake,4th-round pick (2nd),Donny,"2026 4th-round pick, 2026 8th-round pick",,,,3,Yes,Drake <-> Donny,"Drake sent 4th-round pick (2nd); Donny sent 2026 4th-round pick, 2026 8th-round pick",BPL Fantasy.xlsx / Trade History
2024-25-33,2024-25,Postseason,Postseason,Postseason,34,2,"Justin, Chabo",Justin,Rogers (AVL),Chabo,8th-round pick,,,,2,Yes,Justin <-> Chabo,Justin sent Rogers (AVL); Chabo sent 8th-round pick,BPL Fantasy.xlsx / Trade History
2024-25-34,2024-25,Postseason,Postseason,Postseason,35,2,"Levi, House/Haydo",Levi,2026 10th-round pick,House/Haydo,"2025 12th-round pick, 13th-round pick, 14th-round pick",,,,4,Yes,Levi <-> House/Haydo,"Levi sent 2026 10th-round pick; House/Haydo sent 2025 12th-round pick, 13th-round pick, 14th-round pick",BPL Fantasy.xlsx / Trade History
